,title,directors,actors,genres
4282,Miss J Contemplates Her Choice,['Jason Lai'],"['Kit Chan', ' Xiang Yun', ' Bobby Tonelli', ' Shane Pow', ' Seraph Sun', ' Marcus Chiau', ' Sierra Bustos', ' Amy Cheng', ' Lin Yu Hui', ' Youyi']","['Dramas', ' International Movies', ' Thrillers']"
4283,Ascharyachakit!,['Samit Kakkad'],"['Priyanka Bose', ' Vaibhav Raj Gupta', ' Santosh Juvekar', ' Anangsha Biswas', ' Ankit Raaj', ' Kashmira Irani', ' Kailash Waghmare', ' Vipin Sharma']","['Dramas', ' Independent Movies', ' International Movies']"
4285,Lilli,['Prasobh Vijayan'],"['Samyuktha Menon', ' Aaryan Menon', ' Dhanesh Anand', ' Kannan Nayar', ' Sajin Cherukayil', ' Kevin Jose', ' Athulya']","['Dramas', ' Independent Movies', ' International Movies']"
4286,Prince of Peoria: A Christmas Moose Miracle,['Jon Rosenbaum'],"['Gavin Lewis', ' Theodore Barnes', ' Shelby Simmons', ' Cynthia Kaye McWilliams']","['Children & Family Movies', ' Comedies']"
4287,Andhadhun,['Sriram Raghavan'],"['Tabu', ' Ayushmann Khurrana', ' Radhika Apte', ' Anil Dhawan', ' Manav Vij', ' Zakir Hussain', ' Ashwini Kalsekar', ' Chhaya Kadam', ' Pawan Singh', ' Kabir Sajid']","['Comedies', ' Dramas', ' International Movies']"
4289,Dragons: Dawn of the Dragon Racers,"['Elaine Bogan', ' John Sanford']","['Jay Baruchel', ' America Ferrera', ' Zack Pearlman', ' Christopher Mintz-Plasse', ' T.J. Miller', ' Andree Vermeulen']","['Children & Family Movies', ' Comedies']"
4291,Kill the Messenger,['Michael Cuesta'],"['Jeremy Renner', ' Rosemarie DeWitt', ' Ray Liotta', ' Tim Blake Nelson', ' Oliver Platt', ' Barry Pepper', ' Michael Sheen', ' Paz Vega', ' Michael Kenneth Williams', ' Mary Elizabeth Winstead', ' Andy Garcia', ' Robert Patrick']","['Dramas', ' Thrillers']"
4292,Maps to the Stars,['David Cronenberg'],"['Julianne Moore', ' Mia Wasikowska', ' Robert Pattinson', ' John Cusack', ' Olivia Williams', ' Sarah Gadon', ' Evan Bird', ' Niamh Wilson', ' Dawn Greenhalgh']","['Comedies', ' Dramas']"
4293,Springsteen on Broadway,['Thom Zimny'],['Bruce Springsteen'],['Music & Musicals']
4294,The Theory of Everything,['James Marsh'],"['Emily Watson', ' Charlie Cox', ' Felicity Jones', ' Maxine Peake', ' Harry Lloyd', ' Eddie Redmayne', ' David Thewlis', ' Simon McBurney']","['Dramas', ' Romantic Movies']"
4295,F.R.E.D.I.,['Sean Olson'],"['Kelly Hu', ' Angus Macfadyen', ' Candace Cameron Bure', ' Lucius Hoyos', ' Reid Miller', ' Tyler Christopher', ' Casimere Jollette', ' Christina Cox', ' Texas Battle', ' Harvey Guillen']","['Children & Family Movies', ' Sci-Fi & Fantasy']"
4297,Kita Kita,['Sigrid Andrea Bernardo'],"['Alessandra de Rossi', ' Empoy Marquez']","['Comedies', ' Dramas', ' International Movies']"
4298,Once in a Lifetime Sessions with George Ezra,,,"['Documentaries', ' Music & Musicals']"
4299,Once in a Lifetime Sessions with Kasabian,['Matt Askem'],"['Sergio Pizzorno', ' Tom Meighan', ' Chris Edwards', ' Ian Mattthews', ' Lauren Laverne']","['Documentaries', ' Music & Musicals']"
4300,Once in a Lifetime Sessions with OneRepublic,,,"['Documentaries', ' Music & Musicals']"
4301,Once in a Lifetime Sessions with Snow Patrol,['Matt Askem'],"['Gary Lightbody', ' Nathan Connolly', ' Jonny Quinn', ' Paul Wilson', ' Johnny McDaid', ' Edith Bowman']","['Documentaries', ' Music & Musicals']"
4302,Sad Hill Unearthed,['Guillermo de Oliveira'],,"['Documentaries', ' International Movies']"
4303,Vanjagar Ulagam,['Manoj Beedha'],"['Guru Somasundaram', ' Cibi Bhuvana Chandran', ' Vishagan Vanangamudi', ' Anisha Ambrose', ' Chandini Tamilarasan', ' Azhagamperumal', ' John Vijay', ' Vasu Vikram', ' Hareesh Peradi', ' Jayaprakash Radhakrishnan']","['Dramas', ' International Movies', ' Thrillers']"
4306,ROMA,['Alfonso Cuarón'],"['Yalitza Aparicio', ' Marina de Tavira']","['Dramas', ' Independent Movies', ' International Movies']"
4313,"Out of Many, One","['John Hoffman', ' Nanfu Wang']",,['Documentaries']
4314,Vir Das: Losing It,['Marcus Raboy'],['Vir Das'],['Stand-Up Comedy']
4315,5 Star Christmas,['Marco Risi'],"['Massimo Ghini', ' Ricky Memphis', ' Martina Stella', ' Ralph Palka', ' Biagio Izzo', ' Riccardo Rossi', ' Paola Minaccioni']","['Comedies', ' International Movies']"
4317,Dumplin',['Anne Fletcher'],"['Danielle Macdonald', ' Jennifer Aniston', ' Odeya Rush', ' Maddie Baillio', ' Bex Taylor-Klaus', ' Luke Benward', ' Georgie Flores', ' Dove Cameron', ' Harold Perrineau', ' Kathy Najimy', ' Ginger Minj', ' Hilliary Begley']","['Comedies', ' Dramas', ' Independent Movies']"
4318,Free Rein: The Twelve Neighs of Christmas,['Marek Losey'],"['Jaylen Barron', ' Billy Angel', ' Manpreet Bambra', ' Celine Buckens', ' Freddy Carter', ' Bruce Herbelin-Earle', ' Kerry Ingram', ' Charlotte Jordan', ' Geoff McGivern', ' Martin Bobb-Semple']","['Children & Family Movies', ' Dramas']"
4319,Mowgli: Legend of the Jungle,['Andy Serkis'],"['Christian Bale', ' Cate Blanchett', ' Benedict Cumberbatch', ' Naomie Harris', ' Andy Serkis', ' Rohan Chand', ' Peter Mullan', ' Jack Reynor', ' Eddie Marsan', ' Tom Hollander', ' Louis Ashbourne Serkis', ' Matthew Rhys', ' Freida Pinto']","['Action & Adventure', ' Children & Family Movies', ' Dramas']"
4322,ReMastered: Who Killed Jam Master Jay?,['Brian Oakes'],,"['Documentaries', ' Music & Musicals']"
4323,Super Monsters and the Wish Star,['Jacob Joice'],"['Elyse Maloway', ' Vincent Tong', ' Erin Mathews', ' Andrea Libman', ' Alessandro Juliani', ' Nicole Anthony', ' Diana Kaarina', ' Ian James Corlett', ' Britt McKillip', ' Kathleen Barr', ' Gigi Saul Guerrero']",['Children & Family Movies']
4324,The American Meme,['Bert Marcus'],"['Paris Hilton', ' Josh Ostrovsky', ' Brittany Furlan', ' Kirill Bichutsky', ' DJ Khaled', ' Emily Ratajkowski', ' Hailey Baldwin']",['Documentaries']
4325,RUSSELL BRAND: RE:BIRTH,['Chris Howe'],['Russell Brand'],['Stand-Up Comedy']
4328,Teefa in Trouble,['Ahsan Rahim'],"['Ali Zafar', ' Maya Ali', ' Javed Sheikh', ' Mehmood Aslam', ' Faisal Qureshi', ' Nayyar Ejaz', ' Asma Abbas', ' Marhoom Ahmad Bilal', ' Simi Raheal', ' Salman Bokhari']","['Action & Adventure', ' Comedies', ' International Movies']"
4329,A Beautiful Life,['Andrew Lau Wai-Keung'],"['Qi Shu', ' Liu Ye', ' Anthony Wong Chau-Sang', ' Liang Tian', ' Danying Feng', ' Rina Sa', ' Zhang Songwen', ' Tian Gao', ' Andrew Lin']","['Dramas', ' International Movies', ' Romantic Movies']"
4330,Accident,['Cheang Pou Soi'],"['Louis Koo', ' Richie Ren', ' Stanley Fung Sui-Fan', ' Michelle Ye', ' Lam Suet', ' Alexander Chan', ' Monica Mok']","['International Movies', ' Thrillers']"
4331,"Ayotzinapa, el paso de la tortuga",['Enrique García Meza'],,"['Documentaries', ' International Movies']"
4332,Battle,['Katarina Launing'],"['Lisa Teige', ' Fabian Svegaard Tapia', ' Vebjørn Enger', ' Charlott Madeleine Utzig', ' Stig R. Amdam', ' Karen-Lise Mynster']","['Dramas', ' International Movies', ' Romantic Movies']"
4333,Blind Detective,['Johnnie To'],"['Andy Lau', ' Sammi Cheng', ' Gao Yuanyuan', ' Guo Tao', ' Philip Keung', ' Lam Suet', ' Lo Hoi-pang', ' Tai-Lo Ma', ' Man-Wai Wong', ' Ying-Ying Yiu', ' Yi Zi']","['Action & Adventure', ' Comedies', ' International Movies']"
4334,Break Up 100,['Lawrence Cheng'],"['Ekin Cheng', ' Chrissie Chow', ' Ivana Wong', ' Jase Ho', ' Alex Lam', ' Wen Xin', ' Miriam Chin Wah Yeung', ' Eric Kot', ' Kar Lok Chin']","['Comedies', ' International Movies', ' Romantic Movies']"
4335,Chal Bhaag,['Prakash Balwant Saini'],"['Deepak Dobriyal', ' Tarun Bajaj', ' Keeya Khanna', ' Varun Mehra', ' Sanjay Mishra', ' Yashpal Sharma', ' Mukesh Tiwari', ' Atul Srivastava', ' Manish Khanna', ' Kunwar Aziz']","['Comedies', ' Dramas', ' International Movies']"
4336,Crossroads: One Two Jaga,['Nam Ron'],"['Zahiril Adzim', ' Ario Bayu', ' Asmara Abigail', ' Rosdeen Suboh', ' Amerul Affendi', ' Iedil Putra', ' Timothy Castillo', ' Chew Kin Wah', ' Along Eyzendy', ' Nam Ron']","['Dramas', ' International Movies']"
4337,Don't Go Breaking My Heart,['Johnnie To'],"['Louis Koo', ' Gao Yuanyuan', ' Daniel Wu']","['Comedies', ' International Movies', ' Romantic Movies']"
4338,Don't Go Breaking My Heart 2,['Johnnie To'],"['Louis Koo', ' Gao Yuanyuan', ' Miriam Chin Wah Yeung', ' Vic Chou', ' Daniel Wu']","['Comedies', ' International Movies', ' Romantic Movies']"
4339,Faraar,['Baljit Singh Deo'],"['Kainaat Arora', ' Jaggi Singh', ' Gippy Grewal']","['Action & Adventure', ' Dramas', ' International Movies']"
4341,Helios,"['Leung Lok Man', ' Luk Kim-ching']","['Jacky Cheung', ' Nick Cheung', ' Chang Chen', ' Shawn Yue', ' Wang Xueqi', ' Janice Man', ' Ji Jin-hee', ' Choi Si-won']","['Action & Adventure', ' International Movies']"
4342,Line Walker,['Jazz Boon'],"['Nick Cheung', ' Louis Koo', ' Francis Chun-Yu Ng', ' Charmaine Sheh', ' Hui Shiu Hung', ' Li Guangjie', ' Zhang Huiwen', ' Xing Yu', ' Cheng Taishen', ' Moses Chan', ' Louis Cheung']","['Action & Adventure', ' Dramas', ' International Movies']"
4343,Look for a Star,['Andrew Lau Wai-Keung'],"['Andy Lau', ' Qi Shu', ' Zhang Hanyu', ' Denise Ho', ' Dominic Lam', ' Xinyi Zhang', ' David Chiang', ' George Lam', ' Rebecca Pan', ' Maria Cordero', ' Tat-Ming Cheung']","['Comedies', ' International Movies', ' Romantic Movies']"
4344,Oddbods: The Festive Menace,,"['Nadia Ramlee', ' Chio Su-Ping', ' Jeremy Linn', ' Marlon Dance-Hooi']",['Movies']
4345,Once a Gangster,['Felix Chong'],"['Ekin Cheng', ' Jordan Chan', ' Alex Fong', ' Michelle Ye', ' On-on Yu', ' Wilfred Lau', ' Conroy Chan']","['Action & Adventure', ' Comedies', ' International Movies']"
4346,Power Paandi,['Dhanush'],"['Rajkiran', ' Dhanush', ' Prasanna', ' Chaya Singh', ' Revathy', ' Madonna Sebastian', ' Vidyullekha Raman']","['Dramas', ' Independent Movies', ' International Movies']"
4347,Roll With Me,,,"['Documentaries', ' Sports Movies']"
4348,SDU: Sex Duties Unit,['Gary Mak'],"['Chapman To', ' Shawn Yue', ' Matt Chow', ' Kwok Cheung Tsang']","['Comedies', ' International Movies']"
4349,Set Off,['Liu Jiang'],"['Wenpei Ju', ' Fan Wei', ' Liu Hua', ' Qianyuan Wang', ' Ren Zhengbin', ' He Jiang']","['Dramas', ' International Movies']"
4351,A Christmas Prince: The Royal Wedding,['John Schultz'],"['Rose McIver', ' Ben Lamb', ' Alice Krige', ' Simon Dutton', ' Honor Kneafsey', ' Sarah Douglas', ' Theo Devaney', ' John Guerrasio', ' Andy Lucas', ' Raj Bajaj', ' Richard Ashton', ' Billy Angel', ' Tahirah Sharif', ' Joel McVeagh']","['Children & Family Movies', ' Dramas', ' Romantic Movies']"
4352,Angela's Christmas,['Damien O’Connor'],"[""Lucy O'Connell"", ' Ruth Negga', ' Brendan Mullins', ' Malachy McCourt', ' Vivian Drew', "" Anya O'Connor"", ' Janet Moran', ' Brian Gleeson', ' Pat Kinevane']",['Children & Family Movies']
4354,El club de los insomnes,"['Joseduardo Giordano', ' Sergio Goyri Jr.']","['Cassandra Ciangherotti', ' Leonardo Ortizgris', ' Alejandra Ambrosi', ' Alexandra De La Mora', ' Mónica Dionne', ' Sergio Goyri', ' Fernando Becerril', ' Humberto Busto', ' Marco Méndez', ' Alejandra Urdiaín', ' Khristian Clausen', ' Fernando Luján']","['Dramas', ' International Movies']"
4355,Happy as Lazzaro,['Alice Rohrwacher'],"['Adriano Tardiolo', ' Agnese Graziani', ' Alba Rohrwacher', ' Luca Chikovani', ' Tommaso Ragno', ' Sergi López', ' Natalino Balasso', ' Carlo Tarmati', ' Pasqualina Scuncia', ' Nicoletta Braschi']","['Dramas', ' Independent Movies', ' International Movies']"
4357,Manto,['Nandita Das'],"['Nawazuddin Siddiqui', ' Rasika Dugal', ' Tahir Raj Bhasin']","['Dramas', ' Independent Movies', ' International Movies']"
4358,Rajma Chawal,['Leena Yadav'],"['Rishi Kapoor', ' Anirudh Tanwar', ' Amyra Dastur', ' Jitendra Shastri', ' Aparshakti Khurana', ' Harish Khanna', ' Manu Rishi Chadha', ' Nirmal Rishi', ' Sheeba Chaddha', ' Adil Hussain', ' Rahul Ram', ' Mukesh Chhabra']","['Comedies', ' Dramas', ' International Movies']"
4360,The World Is Yours,['Romain Gavras'],"['Isabelle Adjani', ' Karim Leklou', ' François Damiens', ' Vincent Cassel', ' Oulaya Amamra']","['Action & Adventure', ' Comedies', ' International Movies']"
4361,Time Share,['Sebastián Hofmann'],"['Luis Gerardo Méndez', ' Miguel Rodarte', ' R.J. Mitte', ' Cassandra Ciangherotti', ' Montserrat Marañon', ' Andrés Almeida', ' Emiliano Rodríguez']","['Dramas', ' Independent Movies', ' International Movies']"
4364,My Little Pony Friendship Is Magic: Best Gift Ever,"['Denny Lu', ' Mike Myhre']","['Tara Strong', ' Andrea Libman', ' Ashleigh Ball', ' Cathy Weseluck', ' Tabitha St. Germain', ' John de Lancie', ' Sam Vincent', ' Garry Chalk']",['Children & Family Movies']
4369,The Christmas Chronicles,['Clay Kaytis'],"['Kurt Russell', ' Darby Camp', ' Judah Lewis', ' Kimberly Williams-Paisley', ' Oliver Hudson', ' Lamorne Morris', ' Martin Roach']","['Children & Family Movies', ' Comedies']"
4370,The Tribe,['Fernando Colomo'],"['Paco León', ' Carmen Machi', ' Luis Bermejo', ' Maribel del Pino', ' Maite Sandoval', ' Arlette Torres', ' Marisol Aznar', ' María José Sarrate', ' Manuel Huedo', ' Artur Busquets']","['Comedies', ' International Movies']"
4373,Puppy Star Christmas,['Robert Vince'],"['Kaitlyn Maher', ' Mackenzie Sol', ' Makenzie Moss', ' David DeLuise', ' George Newbern', ' Reggie De Leon', ' Diedrich Bader', ' Chloe Coleman', ' Oakley Bull', ' Dillon Fontana', ' vivienne Rutherford', ' Tyreese Burnett']","['Children & Family Movies', ' Comedies']"
4374,Sabrina,['Rocky Soraya'],"['Luna Maya', ' Christian Sugiono', ' Sara Wijayanto', ' Jeremy Thomas', ' Richelle Georgette Skornicki', ' Rizky Hanggono', ' Asri Handayani']","['Horror Movies', ' International Movies']"
4375,Target,['Raditya Dika'],"['Raditya Dika', ' Cinta Laura Kiehl', ' Samuel Rizal', ' Willy Dozan', ' Abdur Arsyad', ' Hifdzi Khoir', ' Romy Rafael', ' Ria Ricis', ' Anggika Bolsterli']","['Comedies', ' Horror Movies', ' International Movies']"
4377,Trevor Noah: Son of Patricia,['David Paul Meyer'],['Trevor Noah'],['Stand-Up Comedy']
4378,The Pixar Story,['Leslie Iwerks'],['Stacy Keach'],['Documentaries']
4382,Cam,['Daniel Goldhaber'],"['Madeline Brewer', ' Patch Darragh', ' Melora Walters', ' Devin Druid', ' Imani Hakim', ' Michael Dempsey', ' Flora Diaz', ' Samantha Robinson', ' Jessica Parker Kennedy', ' Quei Tann']","['Horror Movies', ' Independent Movies', ' Thrillers']"
4383,Nothing to Hide,['Fred Cavayé'],"['Bérénice Bejo', ' Suzanne Clément', ' Stéphane De Groodt', ' Vincent Elbaz', ' Grégory Gadebois', ' Doria Tillier', ' Roschdy Zem', ' Fleur Fitoussi']","['Comedies', ' Dramas', ' International Movies']"
4385,The Ballad of Buster Scruggs,"['Joel Coen', ' Ethan Coen']","['Liam Neeson', ' James Franco', ' Tim Blake Nelson', ' Tom Waits', ' Zoe Kazan', ' Brendan Gleeson']","['Comedies', ' Dramas']"
4386,The Princess Switch,,"['Vanessa Hudgens', ' Sam Palladio', ' Nick Sagar', ' Suanne Braun', ' Mark Fleischmann', ' Amy Griffiths', ' Sara Stewart', ' Pavel Douglas', ' Robin Soans', ' Calliope Taylor', ' Natali Yura', ' Alexa Adeosun']","['Children & Family Movies', ' Dramas', ' Romantic Movies']"
4388,Aalorukkam,['V C Abhilash'],"['Indrans', ' Sreekanth Menon', ' Vishnu Agasthya', ' Aliyar', ' Seethabaala', ' Shaji John', ' Sajith Nampiyar', ' Benny Vadakkan']","['Dramas', ' Independent Movies', ' International Movies']"
4390,Christmas Wedding Planner,['Justin G. Dyck'],"['Stephen Huszar', ' Kelly Rutherford']","['Comedies', ' International Movies', ' Romantic Movies']"
4391,Halkaa,['Nila Madhab Panda'],"['Tathastu', ' Aryan Preet', ' Ranvir Shorey', ' Paoli Dam', ' Kumud Mishra', ' Devender Chaudhary', ' Shrikant Verma']","['Comedies', ' Dramas', ' Independent Movies']"
4392,May the Devil Take You,['Timo Tjahjanto'],"['Chelsea Islan', ' Pevita Pearce', ' Samo Rafael', ' Karina Suwandhi', ' Ray Sahetapy', ' Ruth Marini', ' Hadijah Shahab', ' Clara Bernadeth', ' Kinaryosih', ' Nicole Rossi']","['Horror Movies', ' International Movies']"
4393,Muzaffarnagar Baaqi Hai,['Nakul Singh Sawhney'],,"['Documentaries', ' International Movies']"
4394,Odu Raja Odu,"['Nishanth Ravindaran', ' Jathin Sanker Raj']","['Guru Somasundaram', ' Nasser', ' Anand Sami', ' Lakshmi Priyaa Chandramouli', ' Ashiqa Salvan', ' Ravindra Vijay', ' Abishek K.S.', ' Venkatesh Harinathan']","['Comedies', ' Independent Movies', ' International Movies']"
4395,Savita Damodar Paranjpe,['Swapna Waghmare Joshi'],"['Subodh Bhave', ' Trupti Toradmal', ' Rakesh Bapat', ' Pallavi Patil', ' Angad Mhaskar', ' Hemangi Kavi', ' Savita Prabhune', ' Sandeep Avchat']","['Horror Movies', ' International Movies']"
4396,The Giant,"['Aitor Arregi', ' Jon Garaño']","['Joseba Usabiaga', ' Eneko Sagardoy', ' Iñigo Aranburu', ' Ramón Aguirre', ' Aia Kruse', ' Iñigo Azpitarte']","['Dramas', ' International Movies']"
4397,BuyBust,['Erik Matti'],"['Anne Curtis', ' Brandon Vera', ' Victor Neri', ' Arjo Atayde', ' Levi Ignacio', ' Alex Calleja', ' Lao Rodriguez', ' Joross Gamboa', ' Ricky Pascua', ' Nonie Buencamino']","['Action & Adventure', ' International Movies']"
4398,Loudon Wainwright III: Surviving Twin,['Christopher Guest'],['Loudon Wainwright III'],['Music & Musicals']
4401,"All's Well, End's Well (2009)",['Vincent Kok'],"['Louis Koo', ' Sandra Ng Kwan Yue', ' Raymond Wong', ' Ronald Cheng', ' Yao Chen', ' Guo Tao', ' Heung Kam Lee', ' Chun Chau Ha', ' Miki Shum']","['Comedies', ' International Movies', ' Romantic Movies']"
4402,Lommbock,['Christian Zübert'],"['Lucas Gregorowicz', ' Moritz Bleibtreu', ' Louis Hofmann', ' Wotan Wilke Möhring', ' Alexandra Neldel', ' Melanie Winigir', ' Mavie Hörbiger', ' Dar Salim', ' Elmar Wepper', ' Antoine Monot Jr.']","['Comedies', ' International Movies']"
4404,Outlaw King,['David Mackenzie'],"['Chris Pine', ' Aaron Taylor-Johnson', ' Florence Pugh', ' Billy Howle', ' Sam Spruell', ' Tony Curran', ' Callan Mulvey', ' James Cosmo', ' Stephen Dillane']","['Action & Adventure', ' Dramas']"
4411,Bucket List,['Tejas Prabha Vijay Deoskar'],"['Madhuri Dixit', ' Sumeet Raghvan', ' Renuka Shahane', ' Milind Pathak', ' Vandana Gupte', ' Pradeep Velankar', ' Shubha Khote', ' Resham Tipnis']","['Dramas', ' International Movies']"
4412,John Leguizamo's Latin History for Morons,,['John Leguizamo'],['Stand-Up Comedy']
4414,Ana e Vitória,['Matheus Souza'],"['Ana Caetano', ' Vitória Falcão', ' Clarissa Müller', ' Bruce Gomlevsky', ' Thati Lopes', ' Caique Nogueira', ' Érika Mader', ' Victor Lamoglia', ' Gabriela Nunes', ' Bryan Ruffo', ' Hamilton Dias']","['Comedies', ' International Movies', ' LGBTQ Movies']"
4416,ReMastered: Tricky Dick & The Man in Black,['Sara Dosa'],,"['Documentaries', ' Music & Musicals']"
4417,The Holiday Calendar,['Bradley Walsh'],"['Kat Graham', ' Quincy Brown', ' Ethan Peck', ' Ron Cephas Jones', ' Genelle Williams', ' Ali Hassan', ' Rodrigo Fernandez-Stoll', ' Laura de Carteret', ' Kevin Hanchard', ' Romaine Waite']","['Dramas', ' Romantic Movies']"
4418,The Other Side of the Wind,['Orson Welles'],"['John Huston', ' Oja Kodar', ' Peter Bogdanovich', ' Susan Strasberg', ' Robert Random', ' Lilli Palmer', ' Norman Foster', "" Edmond O'Brien"", ' Mercedes McCambridge', ' Cameron Mitchell', ' Paul Stewart']","['Classic Movies', ' Dramas', ' Independent Movies']"
4419,They’ll Love Me When I’m Dead,['Morgan Neville'],"['Orson Welles', ' Alan Cumming']",['Documentaries']
4420,Aagey Se Right,['Indrajit Nattoji'],"['Shreyas Talpade', ' Kay Kay Menon', ' Shiv Pandit', ' Sanjay Sharma', ' Shenaz Treasury', ' Mahie Gill']","['Comedies', ' International Movies', ' Music & Musicals']"
4421,Aamir,['Raj Kumar Gupta'],"['Rajeev Khandelwal', ' Gajraj Rao', ' Shashanka Ghosh', ' Jhilmil Hazrika', ' Gazala Amin', ' Allauddin Khan']","['International Movies', ' Thrillers']"
4422,ABCD 2,"[""Remo D'Souza""]","['Prabhu Deva', ' Varun Dhawan', ' Shraddha Kapoor', ' Lauren Gottlieb', ' Sushant Pujari', ' Punit Pathak', ' Dharmesh Yelande', ' Raghav Juyal']","['Dramas', ' International Movies', ' Music & Musicals']"
4423,ABCD: Any Body Can Dance,"[""Remo D'Souza""]","['Prabhu Deva', ' Kay Kay Menon', ' Ganesh Acharya', ' Dharmesh Yelande', ' Salman', ' Lauren Gottlieb', ' Noorin Sha', ' Punit Pathak']","['Dramas', ' International Movies']"
4424,Arjun: The Warrior Prince,['Arnab Chaudhuri'],"['Yudhveer Bakoliya', ' Ashok Banthia', ' Ravi Khanwilkar', ' Vijay Kashyap', ' Ila Arun', ' Sachin Khedekar', ' Rajeshwari Sachdev', ' Hemanth Mahaur']","['Action & Adventure', ' Dramas', ' International Movies']"
4425,Asees,['Rana Ranbir'],"['Rana Ranbir', ' Neha Pawar', ' Kuljinder Sidhu', ' Rupinder Roopi', ' Sardar Sohi', ' Pardeep Sran', ' Seema Kaushal', ' Rajvir Boparai']","['Dramas', ' International Movies', ' Music & Musicals']"
4426,Barfi!,['Anurag Basu'],"['Ranbir Kapoor', ' Priyanka Chopra', "" Ileana D'Cruz"", ' Saurabh Shukla', ' Ashish Vidyarthi', ' Rupa Ganguly', ' Bholaraj Sapkota', ' Jishu Sengupta', ' Haradhan Bannerjee']","['Comedies', ' Dramas', ' International Movies']"
4427,Chance Pe Dance,['Ken Ghosh'],"['Shahid Kapoor', "" Genelia D'Souza"", ' Mohnish Bahl', ' Satish Shah', ' Parikshat Sahni', ' Vikas Bhalla', ' Kurush Deboo', ' Zain Khan']","['Comedies', ' Dramas', ' International Movies']"
4428,Christmas With A View,['Justin G. Dyck'],"['Scott Cavalheiro', ' Kaitlyn Leeb', ' Vivica A. Fox', ' Patrick Duffy', ' Jess Walton', ' Mark Ghanimé']","['International Movies', ' Romantic Movies']"
4429,Chup Chup Ke,"['Priyadarshan', ' Kookie V. Gulati']","['Shahid Kapoor', ' Kareena Kapoor', ' Om Puri', ' Neha Dhupia', ' Sunil Shetty', ' Paresh Rawal', ' Rajpal Yadav', ' Shakti Kapoor']","['Comedies', ' Dramas', ' International Movies']"
4431,Dhan Dhana Dhan Goal,['Vivek Agnihotri'],"['John Abraham', ' Bipasha Basu', ' Arshad Warsi', ' Shernaz Patel', ' Boman Irani', ' Dibyendu Bhattacharya', ' Gilbert Montoya', ' Dalip Tahil', ' Rajendranath Zutshi']","['Dramas', ' International Movies', ' Music & Musicals']"
4432,Dhoondte Reh Jaoge,['Umesh Shukla'],"['Paresh Rawal', ' Kunal Khemu', ' Sonu Sood', ' Soha Ali Khan', ' Johnny Lever', ' Dilip Joshi', ' Asrani', ' Malay Chakrabarty', ' Razak Khan', ' Hrishitaa Bhatt']","['Comedies', ' International Movies', ' Music & Musicals']"
4433,Do Dooni Chaar,['Habib Faisal'],"['Rishi Kapoor', ' Neetu Singh', ' Aditi Vasudev', ' Archit Krishna', ' Akhilendra Mishra', ' Natasha Rastogi', ' Manoj Bakshi', ' Supriya Shukla']","['Comedies', ' International Movies']"
4434,Edge of Fear,['Bobby Roth'],"['Shen Lin', ' Robert Patrick', ' Zhu Zhu', "" Jodi Lyn O'Keefe"", ' Robert Knepper', ' Amaury Nolasco', ' Rockmond Dunbar', ' Andy Mackenzie', ' Robert Crayton', ' John Edward Lee', ' Trent Brya']","['Independent Movies', ' Thrillers']"
4435,"Edmilson Filho: Notas, Comedy about Relationships",['Halder Gomes'],['Edmilson Filho'],['Stand-Up Comedy']
4437,Gaddar: the Traitor,['Amitoj Mann'],"['Harbhajan Mann', ' Manpneet Grewal', ' Ashish Duggal', ' Girja Shankar', ' Shavinder Mahal', ' Rupinder Roopi', ' Anita Meet', ' Tarsem Paul', ' Balkaran Wadding', ' Bobby Sandhu']","['Dramas', ' International Movies', ' Thrillers']"
4438,Ghanchakkar,['Raj Kumar Gupta'],"['Emraan Hashmi', ' Vidya Balan', ' Rajesh Sharma', ' Namit Das', ' Parvin Dabas']","['Comedies', ' International Movies', ' Thrillers']"
4439,Grandmaster,['B. Unnikrishnan'],"['Mithra Kurian', ' Anoop Menon', ' Mohanlal', ' Narein', ' Priyamani', ' Roma', ' Siddique', ' Jagathy Sreekumar']","['International Movies', ' Thrillers']"
4440,Hattrick,['Milan Luthria'],"['Nana Patekar', ' Paresh Rawal', ' Kunal Kapoor', ' Rimi Sen', ' Danny Denzongpa', ' Prateeksha Lonkar', ' Gautam Bhimani', ' Harsha Bhogle']","['Comedies', ' Dramas', ' International Movies']"
4441,Heroine,['Madhur Bhandarkar'],"['Kareena Kapoor', ' Arjun Rampal', ' Randeep Hooda', ' Divya Dutta', ' Govind Namdeo', ' Sanjay Suri', ' Mugdha Godse', ' Shahana Goswami', ' Ranvir Shorey', ' Lillete Dubey']","['Dramas', ' International Movies']"
4442,Himmatwala,['Sajid Khan'],"['Ajay Devgn', ' Tamannaah Bhatia', ' Paresh Rawal', ' Zarina Wahab', ' Mahesh Manjrekar']","['Action & Adventure', ' Comedies', ' International Movies']"
4443,Husbands in Goa,['Saji Surendran'],"['Jayasurya', ' Indrajith', ' Asif Ali', ' Lal', ' Bhama', ' Ramya Nambeeshan', ' Rima Kallingal', ' Praveena']","['Comedies', ' International Movies', ' Music & Musicals']"
4444,Jatts in Golmaal,['Ksshitij Chaudhary'],"['Arya Babbar', ' Samiksha Singh', ' Gurpreet Guggi', ' Binnu Dhillon', ' Jaswinder Bhalla', ' B.N. Sharma', ' Veena Malik', ' Sardar Sohi']","['Comedies', ' International Movies', ' Music & Musicals']"
